年,縣市,新增通訊處數,累計通訊處數,年底人口,土地面積_km2,出生數,死亡數,戶數,納稅單位_戶,綜合所得總額_千元,人口密度_人每km2,平均戶量,粗出生率_千分比,粗死亡率_千分比,自然增加率_千分比,綜合所得平均數_千元,綜合所得中位數_千元,平均每戶消費支出_元,每萬人通訊處數
93,宜蘭縣,0,17,,,,,,,,,,,,,,,565676,
93,屏東縣,0,26,,,,,,,,,,,,,,,519356,
93,彰化縣,0,39,,,,,,,,,,,,,,,619357,
93,新北市,1,79,,,,,,,,,,,,,,,740753,
93,新竹市,0,16,,,,,,,,,,,,,,,923578,
93,新竹縣,1,14,,,,,,,,,,,,,,,707628,
93,桃園市,1,61,,,,,,,,,,,,,,,738518,
93,澎湖縣,0,2,,,,,,,,,,,,,,,529440,
93,臺中市,1,101,,,,,,,,,,,,,,,704672,
93,臺北市,3,156,,,,,,,,,,,,,,,925845,
93,臺南市,1,59,,,,,,,,,,,,,,,619386,
93,臺東縣,0,13,,,,,,,,,,,,,,,455738,
93,花蓮縣,0,12,,,,,,,,,,,,,,,561093,
93,苗栗縣,0,19,,,,,,,,,,,,,,,590735,
93,連江縣,0,0,,,,,,,,,,,,,,,,
93,金門縣,0,3,,,,,,,,,,,,,,,,
93,雲林縣,0,16,,,,,,,,,,,,,,,543581,
93,高雄市,3,96,,,,,,,,,,,,,,,620203,
94,南投縣,0,18,,,,,,,,,,,,,,,602360,
94,嘉義市,0,13,,,,,,,,,,,,,,,615552,
94,嘉義縣,0,8,,,,,,,,,,,,,,,539274,
94,基隆市,0,9,,,,,,,,,,,,,,,712080,
94,宜蘭縣,0,17,,,,,,,,,,,,,,,646475,
94,屏東縣,1,27,,,,,,,,,,,,,,,553520,
94,彰化縣,1,40,,,,,,,,,,,,,,,609437,
94,新北市,2,81,,,,,,,,,,,,,,,768576,
94,新竹市,0,16,,,,,,,,,,,,,,,917954,
94,新竹縣,0,14,,,,,,,,,,,,,,,852011,
94,桃園市,0,61,,,,,,,,,,,,,,,751917,
94,澎湖縣,0,2,,,,,,,,,,,,,,,456221,
94,臺中市,5,106,,,,,,,,,,,,,,,687530,
94,臺北市,0,156,,,,,,,,,,,,,,,937499,
94,臺南市,1,60,,,,,,,,,,,,,,,568311,
94,臺東縣,0,13,,,,,,,,,,,,,,,404469,
94,花蓮縣,0,12,,,,,,,,,,,,,,,532648,
94,苗栗縣,0,19,,,,,,,,,,,,,,,591475,
94,連江縣,0,0,,,,,,,,,,,,,,,,
94,金門縣,0,3,,,,,,,,,,,,,,,,
94,雲林縣,0,16,,,,,,,,,,,,,,,488415,
94,高雄市,1,97,,,,,,,,,,,,,,,643684,
95,南投縣,0,18,,,,,,,,,,,,,,,623333,
95,嘉義市,0,13,,,,,,,,,,,,,,,595967,
95,嘉義縣,0,8,,,,,,,,,,,,,,,571053,
95,基隆市,0,9,,,,,,,,,,,,,,,670004,
95,宜蘭縣,1,18,,,,,,,,,,,,,,,645262,
95,屏東縣,1,28,,,,,,,,,,,,,,,573991,
95,彰化縣,1,41,,,,,,,,,,,,,,,640150,
95,新北市,1,82,,,,,,,,,,,,,,,747871,
95,新竹市,1,17,,,,,,,,,,,,,,,971643,
95,新竹縣,1,15,,,,,,,,,,,,,,,731722,
95,桃園市,1,62,,,,,,,,,,,,,,,731111,
95,澎湖縣,1,3,,,,,,,,,,,,,,,518374,
95,臺中市,5,111,,,,,,,,,,,,,,,732742,
95,臺北市,5,161,,,,,,,,,,,,,,,945344,
95,臺南市,1,61,,,,,,,,,,,,,,,641717,
95,臺東縣,0,13,,,,,,,,,,,,,,,445629,
95,花蓮縣,0,12,,,,,,,,,,,,,,,518689,
95,苗栗縣,0,19,,,,,,,,,,,,,,,652827,
95,連江縣,0,0,,,,,,,,,,,,,,,,
95,金門縣,0,3,,,,,,,,,,,,,,,,
95,雲林縣,0,16,,,,,,,,,,,,,,,568457,
95,高雄市,3,100,,,,,,,,,,,,,,,644233,
96,南投縣,0,18,,,,,,,,,,,,,,,592259,
96,嘉義市,0,13,,,,,,,,,,,,,,,586020,
96,嘉義縣,0,8,,,,,,,,,,,,,,,533186,
96,基隆市,0,9,,,,,,,,,,,,,,,651949,
96,宜蘭縣,0,18,,,,,,,,,,,,,,,669589,
96,屏東縣,1,29,,,,,,,,,,,,,,,593006,
96,彰化縣,1,42,,,,,,,,,,,,,,,627431,
96,新北市,0,82,,,,,,,,,,,,,,,751125,
96,新竹市,1,18,,,,,,,,,,,,,,,933566,
96,新竹縣,0,15,,,,,,,,,,,,,,,724042,
96,桃園市,5,67,,,,,,,,,,,,,,,746550,
96,澎湖縣,0,3,,,,,,,,,,,,,,,474657,
